TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2009,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0.8374384256
2010,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,3.8961038961
2012,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,1.183333335
2014,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,3.7037037022
2015,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0.7444168734
2012,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2013,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2014,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2015,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2016,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2017,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2018,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2019,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
2021,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.0909090909
2022,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.111111111
2023,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,10
2012,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15
2013,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.363636364
2014,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.666666667
2015,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15.384615385
2016,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.285714286
2017,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,13.333333333
2018,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,10.666666667
2019,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.6666666667
2014,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.3333333333
2015,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.858974359
2016,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.6483909416
2017,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.5087719298
2018,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.4444444444
2019,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.6666666667
2020,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.5
2021,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
